variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
clc,Convective Cloud Area Percentage,mon,CFmon,4337.36,2564
wap,Omega (=dp/dt),mon,Emon,4321.38,6860
wap,Omega (=dp/dt),subhrPt,CFsubhr,4288.13,968
expn,Sinking Particulate Organic Nitrogen Flux,mon,Emon,4284.22,438
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mon,Omon,4278.56,3316
o3,Mole Fraction of O3,3hrPt,E3hrPt,4252.70,392
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mon,Omon,4209.62,2956
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mon,Omon,4202.65,581
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,mon,Emon,4175.60,420
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,4170.27,2688
tntmp,Tendency of Air Temperature Due to Model Physics,subhrPt,CFsubhr,4150.56,994
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,mon,Amon,4144.34,361455
no3,Dissolved Nitrate Concentration,yr,Oyr,4138.62,17771
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,day,CFday,4123.28,9939
rsucs4co2,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4117.92,2608
rsdt,TOA Incident Shortwave Radiation,day,CFday,4094.71,16555
cfc11,Mole Concentration of CFC11 in Sea Water,mon,Omon,4067.53,7885
sf6,Mole Concentration of SF6 in Sea Water,mon,Omon,4017.62,1627
tslsi,Surface Temperature Where Land or Sea Ice,day,day,4015.04,29425
rlucs4co2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,3993.32,2599
cfc12,Mole Concentration of CFC12 in Sea Water,mon,Omon,3985.99,1597
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,day,CFday,3985.38,10774
rsut,TOA Outgoing Shortwave Radiation,3hr,E3hr,3981.53,6060
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,mon,Amon,3975.51,357898
pfull,Pressure at Model Full-Levels,mon,AERmon,3902.10,2328
prlsns,Stratiform Snowfall Flux,3hrPt,CF3hr,3888.56,766
co2,Mole Fraction of CO2,mon,AERmon,3859.77,2624
prw,Water Vapor Path,mon,Amon,3824.59,386054
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,3814.81,2619
rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,3771.34,2647
tnt,Tendency of Air Temperature,subhrPt,CFsubhr,3745.83,868
zfullo,Depth Below Geoid of Ocean Layer,mon,Omon,3715.63,1302
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,day,CFday,3704.92,7915
tnta,Tendency of Air Temperature Due to Advection,subhrPt,CFsubhr,3703.13,913
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,mon,Emon,3683.13,1712
o2,Dissolved Oxygen Concentration,yr,Oyr,3676.06,21498
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,subhrPt,CFsubhr,3654.22,855
va,Northward Wind,mon,Emon,3637.64,20141
tauu,Surface Downward Eastward Wind Stress,mon,Amon,3618.48,292941
rsdt,TOA Incident Shortwave Radiation,3hr,E3hr,3590.90,6080
tntr,Tendency of Air Temperature Due to Radiative Heating,subhrPt,CFsubhr,3568.68,874
ta,Air Temperature,mon,Emon,3550.45,29782
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,mon,Amon,3542.58,330418
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,mon,Emon,3488.60,625
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,mon,Amon,3471.00,298724
