variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
snc,Snow Area Percentage,day,day,5021.67,272516
zos,,mon,Omon,5017.46,405280
no3,Dissolved Nitrate Concentration,yr,Oyr,4976.14,20821
tnhusa,Tendency of Specific Humidity Due to Advection,subhrPt,CFsubhr,4940.83,4265
prw,Water Vapor Path,mon,Amon,4920.28,754237
rsuscs,,3hr,3hr,4906.56,3487
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mon,Omon,4881.38,4152
ta,Air Temperature,subhrPt,CFsubhr,4874.36,4127
cfc12,Mole Concentration of CFC12 in Sea Water,mon,Omon,4871.43,2461
o3,Mole Fraction of O3,3hrPt,E3hrPt,4870.61,464
